Time_integration Time_hrs Satellite_index angular_distance  Satellite_range
20631 9.162891385203693 [568] [0.06414681] [1853.58082136] 
20831 9.251670552010182 [317] [0.00247623] [1826.62559356] 
20868 9.268226383603178 [428] [0.07572291] [1861.99567873] 
20931 9.29617125011282 [438] [0.04025936] [1817.48282549] 
20968 9.31267152732471 [438] [0.07720781] [1981.30179122] 
21006 9.329560693062376 [573] [0.07581043] [1628.07227784] 
21018 9.334894027502742 [149] [0.07372133] [1767.75362699] 
21106 9.373950277862605 [431] [0.03829982] [1691.04327091] 
21156 9.39611722365953 [557] [0.00427118] [1554.20335237] 
21181 9.407228473923169 [333] [0.00265715] [1978.34410043] 
21256 9.440673470729962 [164] [0.06290049] [1864.01736604] 
21331 9.473951805615798 [166] [0.0397359] [1597.93824183] 
21356 9.48506305553019 [547] [0.04585853] [1437.39178143] 
21381 9.496174305444583 [446] [0.03298013] [1768.2751725] 
21406 9.507257837627549 [129] [0.01563245] [2019.77966722] 
21431 9.518341390416026 [547] [0.00422032] [1926.23733215] 
21456 9.529397083679214 [561] [0.07048077] [1302.4789708] 
21481 9.540508333593607 [148] [0.06936994] [1324.49905781] 
21492 9.545341805554926 [169] [0.07123942] [1947.33477334] 
21494 9.546230692765675 [169] [0.05756316] [1963.16327121] 
21506 9.551619583682623 [561] [0.0573868] [1457.61264162] 
21569 9.579564581683371 [561] [0.06299438] [1858.44589619] 
21594 9.590620277565904 [576] [0.0428012] [1521.44252554] 
21606 9.596064722514711 [576] [0.05045324] [1589.07249359] 
21631 9.607176111254375 [108] [0.0472827] [1930.7347074] 
21644 9.612898331601173 [426] [0.06820252] [1770.79472492] 
21656 9.61823180486681 [426] [0.07192378] [1860.42744485] 
21669 9.624009581515566 [426] [0.05737412] [1962.03685668] 
21919 9.735066944151185 [300] [0.02935825] [1842.22250205] 
21944 9.746178194065578 [168] [0.04857429] [1422.18120216] 
22019 9.779539860261139 [168] [0.05357318] [1730.7063611] 
22069 9.801790137018543 [555] [0.059711] [1705.75356684] 
22094 9.812845832901075 [555] [0.01770185] [1897.92124787] 
22119 9.82390166760888 [554] [0.00616224] [1968.96028355] 
22194 9.857235417701304 [309] [0.00944292] [1722.53779278] 
22219 9.86831902898848 [449] [0.06057982] [1206.53475847] 
22244 9.879402499878779 [309] [0.04761122] [1904.01864067] 
22269 9.890513749967795 [344] [0.04130954] [1920.9110258] 
22294 9.901624999882188 [153] [0.0646502] [1518.04914047] 
22319 9.912736388796475 [109] [0.05381754] [1713.23464159] 
22369 9.935014445276465 [301] [0.01072151] [1675.7936206] 
22394 9.946181249397341 [429] [0.05486313] [1201.13886967] 
22406 9.951514720218256 [439] [0.0694107] [1653.02805519] 
22419 9.957292568637058 [128] [0.03853582] [1644.78182496] 
22444 9.968403888051398 [429] [0.04432704] [1347.97075285] 
22469 9.979515138315037 [128] [0.03375792] [1815.77273512] 
22494 9.99057083419757 [437] [0.01515713] [1223.35371782] 
22594 10.035015973029658 [437] [0.00678934] [1781.60147205] 
22619 10.046071666292846 [551] [0.06639628] [1370.78410481] 
22744 10.101628194039222 [447] [0.00407144] [1619.36723689] 
22769 10.112739443953615 [116] [0.07694167] [1562.85220423] 
22844 10.146017654857133 [442] [0.07588995] [1730.53283181] 
22869 10.157129026483744 [442] [0.06700023] [1930.78667394] 
22957 10.196185138018336 [563] [0.03063656] [1821.19091639] 
23095 10.257241667015478 [327] [0.01011276] [1695.7247498] 
23120 10.268464025342837 [130] [0.07033112] [1754.3261083] 
23145 10.27957527525723 [130] [0.06104808] [1912.91537994] 
23170 10.290631109965034 [175] [0.0314243] [1822.22670271] 
23195 10.301742360228673 [303] [0.02560159] [1857.99374395] 
23245 10.323909305850975 [334] [0.01973063] [1229.41275073] 
23270 10.335020608152263 [353] [0.01082685] [1743.5045733] 
23295 10.346076388377696 [334] [0.07181808] [1365.70781487] 
23320 10.357243194943294 [334] [0.01380775] [1502.38038108] 
23433 10.407299582264386 [120] [0.02447053] [1861.02481059] 
